,plsnt,attnt,snst,aptit,polarity_intense
การทับถม,0.942,-0.79,0.0,0.901,0.878
รีด,0.814,-0.101,0.0,0.748,0.554
ไม่อันตราย,-0.77,0.0,0.0,-0.72,-0.497
มัน,0.529,-0.68,0.0,0.983,0.731
ชุดบิกินี,0.842,-0.7,0.0,0.0,0.514
เคี้ยว,-0.06,0.183,0.651,-0.64,-0.389
มนต์,0.022,0.123,0.038,0.129,0.079
กลิ่น,0.182,0.176,0.242,0.545,0.22
โฉนด,-0.02,0.202,-0.15,0.266,0.099
กิ๊ก,-0.98,0.0,0.791,-0.85,-0.874
ญาติโกโหติกา,0.703,0.948,0.0,0.0,0.55
ชิ้นเล็กๆ,0.871,0.947,0.0,0.0,0.606
ลดตัว,0.0,0.0,0.982,-0.71,-0.564
เนื้อสเต็ก,0.75,0.896,0.0,0.0,0.549
คะแนนเสียง,-0.015,0.236,-0.12,0.212,0.104
แรงดัน,-0.12,0.0,-0.11,-0.03,-0.087
สำเหนียก,0.0,0.992,0.0,0.945,0.646
ห้องพิจารณาคดี,0.028,0.097,0.0,0.086,0.07
การให้ยืม,-1.0,0.0,-0.75,0.0,-0.583
เปลี่ยนแปลง,-0.015,0.207,-0.03,0.192,0.118
ผู้ประท้วง,-0.93,0.0,0.86,-0.9,-0.897
ไส้เลื่อน,0.087,-0.03,0.0,0.063,0.06
รถจักรยานยนต์,-0.06,0.122,-0.04,0.113,0.045
นกยาง,0.0,0.065,0.021,0.052,0.032
โลกมนุษย์,-0.05,0.076,0.0,0.107,0.044
การพลิกกลับ,-0.94,0.0,0.678,-0.83,-0.816
บีบ,-0.094,0.207,0.149,-0.473,-0.17
มีน้ำหนัก,0.624,0.058,0.023,0.335,0.331
เติบโต,0.05,0.076,-0.03,0.121,0.072
ภูมิแพ้,-0.96,0.0,0.848,-0.82,-0.876
วันหลัง,0.0,0.0,-0.92,-0.96,-0.627
พายุหิมะ,0.0,0.0,-0.93,-0.82,-0.583
บุหงา,0.99,-0.84,0.0,0.0,0.61
อัตตา,0.638,-0.99,0.0,0.631,0.753
การกล่าวโทษ,-0.7,0.0,0.874,-0.75,-0.775
แร่เหล็ก,0.102,0.078,0.0,0.087,0.089
เล็ง,0.528,0.598,0.0,0.03,0.385
นอกเวลา,-0.07,0.207,-0.05,0.228,0.105
แลก,-0.026,0.284,-0.032,0.241,0.156
การแปรรูปรัฐวิสาหกิจ,-0.9,0.0,0.926,0.0,-0.609
เว็บ,0.478,0.396,0.0,0.0,0.291
สมุดบัญชี,0.97,0.791,0.0,0.0,0.587
วิธีการ,-0.02,0.091,-0.024,0.05,0.032
นักประพันธ์,0.0,0.982,0.0,0.974,0.652
ช่อง,0.12,0.231,0.072,-0.056,0.074
กระป๋อง,0.886,-0.87,0.0,0.0,0.585
สนามกีฬา,0.052,-0.065,0.023,0.046,0.047
มาลาเรีย,-0.88,0.0,-0.84,-0.95,-0.89
เชน,0.096,-0.01,0.0,0.0,0.035
การจราจล,-0.89,0.0,0.829,-0.92,-0.88
มัมมี่,0.962,-0.97,0.0,0.0,0.644
ก่อให้เกิดการโต้แย้ง,-0.85,0.0,0.749,-0.99,-0.863
สิ้นสุด,-0.277,0.064,-0.016,-0.263,-0.164
ความเหนื่อยล้า,-0.92,0.0,0.0,-0.79,-0.57
ความลำเอียง,0.035,0.311,0.108,-0.292,-0.018
ทำตามแบบ,0.0,0.809,0.0,0.76,0.523
ที่พัก,0.156,-0.37,0.494,-0.006,0.009
ทอดสมอ,0.802,0.419,0.0,0.392,0.538
นัด,0.0,0.0,0.0,0.141,0.047
มหาสมุทรแปซิฟิก,-0.6,0.0,0.694,-0.65,-0.648
ห่ม,0.024,0.0,0.0,0.074,0.033
แพทย์ผู้เชี่ยวชาญ,0.0,0.801,0.0,0.966,0.589
ตะปูควง,0.0,-0.03,0.012,0.057,0.025
พยากรณ์,0.048,0.074,0.0,0.0,0.041
กง,0.152,0.362,0.193,-0.113,0.069
หอยทาก,-0.05,-0.04,0.037,-0.08,-0.042
เขตก่อสร้าง,0.0,0.0,0.0,-0.09,-0.03
จุดมุ่งหมาย,0.811,0.945,0.0,0.0,0.585
เพียบ,0.705,0.0,0.0,0.965,0.557
ผู้ค้าปลีก,0.0,0.17,0.0,0.101,0.09
ฟักไข่,-0.44,0.087,0.656,-0.59,-0.533
ตามขวาง,0.0,0.829,0.0,0.756,0.528
ทางวัฒนธรรม,-0.05,0.0,-0.05,0.0,-0.033
ลงเรือ,0.0,0.0,0.953,-0.73,-0.561
การดำเนินธุรกิจ,-0.06,0.167,-0.12,0.116,0.034
หนาแน่น,-0.151,0.0,0.203,-0.063,-0.139
ให้คำปรึกษา,-0.1,0.068,-0.12,-0.11,-0.087
ภาระ,0.0,0.428,-0.04,0.403,0.264
เคอร์เซอร์,0.891,0.961,0.0,0.0,0.617
รังนก,-0.54,0.0,0.811,-0.51,-0.62
ปอกเปลือก,0.0,0.0,0.021,-0.06,-0.027
อานุภาวะ,0.0,0.914,0.0,0.93,0.615
บาร์เทนเดอร์,0.787,0.0,0.0,0.98,0.589
มีหนาม,-0.02,-0.05,-0.05,-0.05,-0.023
ผู้ได้รับบาดเจ็บ,-0.64,0.0,0.497,-0.73,-0.622
กำลังสอง,0.852,0.943,0.0,0.0,0.598
เกลือ,0.0,0.0,-0.87,-0.95,-0.607
คุณภาพสูง,0.757,-0.82,0.0,0.982,0.853
การแบ่งผลกำไร,-0.06,-0.05,0.037,-0.14,-0.062
เจริญ,0.199,0.212,-0.042,0.136,0.168
ไขมัน,-0.665,-0.07,-0.03,-0.62,-0.415
อวัยวะภายใน,0.042,-0.06,0.0,-0.03,0.024
การส่งผ่าน,0.637,-0.71,0.0,0.932,0.76
ทัวร์นาเมนต์,0.093,-0.02,0.0,0.056,0.056
ร้อน,-0.45,0.0,-0.34,-0.865,-0.552
การทาสี,0.0,0.09,0.0,0.111,0.067
แผดเผา,0.876,0.948,0.0,0.0,0.608
ทางสัญจร,-0.04,0.136,0.0,0.105,0.067
ติดตั้ง,-0.74,0.0,-0.92,0.0,-0.553
บาดตา,-0.275,0.07,0.586,-0.748,-0.513
โวยวาย,-0.79,0.0,0.109,-0.845,-0.581
จุดนัดพบ,0.024,0.076,-0.025,0.059,0.045
ปัดฝุ่น,-0.95,0.0,0.738,-0.58,-0.756
เชื้อเชิญ,0.0,0.098,-0.04,0.25,0.103
องค์กรธุรกิจ,0.052,0.206,0.0,0.153,0.137
ปฏิญาณ,0.066,0.217,-0.19,0.218,0.104
เลเซอร์,0.0,-0.03,0.043,-0.11,-0.041
ไม่ชอบ,-0.855,0.0,0.733,-0.815,-0.801
การทำงาน,0.042,0.287,0.195,0.312,0.149
ท้องอืด,-0.03,0.0,-0.11,0.0,-0.047
ในระยะยาว,-0.78,0.0,0.777,0.0,-0.519
ฝูงปลา,0.0,0.712,0.0,0.767,0.493
เกร็ง,0.0,0.0,-0.76,-0.81,-0.523
การนอนไม่หลับ,-0.745,0.0,0.678,-0.355,-0.593
ตรวจโรค,0.722,-0.87,0.0,0.9,0.831
ฟันปลอม,-0.663,0.0,0.659,-0.96,-0.761
โป๊กเกอร์,0.0,0.0,-0.82,-0.92,-0.58
แย่งชิง,-0.05,0.072,-0.159,-0.277,-0.138
ส่อง,-0.81,0.0,0.0,0.0,-0.27
ป้ายทะเบียน,0.0,0.137,0.0,0.133,0.09
ในเวลาสั้นๆ,0.0,-0.75,0.0,0.848,0.533
ปล้ำ,-0.325,0.071,0.07,-0.345,-0.223
แนวเขตแดน,0.921,0.797,0.0,0.0,0.573
บิล,-0.03,0.249,-0.06,0.102,0.087
การเรียกร้อง,0.193,0.176,-0.023,-0.015,0.11
เงา,-0.875,0.0,-0.39,-0.39,-0.552
บัง,-0.57,0.0,0.814,-0.8,-0.728
กระบวนทัศน์,0.0,0.137,-0.1,0.197,0.078
ภัย,-0.272,-0.059,-0.275,-0.323,-0.27
หูเบา,0.0,0.0,-0.86,-0.79,-0.55
ราชินี,0.022,-0.428,0.0,0.461,0.304
ทุกหนทุกแห่ง,0.0,0.093,0.0,0.053,0.049
บ่อย,0.022,0.078,0.0,0.154,0.085
จ่ายสด,-0.04,-0.02,0.04,-0.03,-0.03
การปฏิบัติการ,-0.07,0.069,-0.18,0.0,-0.06
ยกเลิก,-0.098,-0.148,0.182,-0.096,-0.076
กุนซือ,0.069,0.14,-0.06,0.108,0.086
หยอด,0.99,-0.76,0.0,0.571,0.774
ตาน้ำ,-0.71,0.0,0.0,-0.97,-0.56
คนส่งของ,-0.8,0.0,0.718,-0.79,-0.769
ภาษีขาออก,-0.65,0.0,0.65,-0.98,-0.76
สแกน,-0.08,0.0,0.011,-0.04,-0.044
พนักงานขับรถ,0.066,0.0,-0.05,0.066,0.027
ขับเคี่ยว,0.0,0.0,0.0,-0.85,-0.283
ไมล์,-0.7,0.0,0.0,-0.87,-0.523
การกลับคำพิพากษา,-0.94,0.0,0.678,-0.83,-0.816
โดยดี,0.715,0.689,-0.17,0.207,0.48
พัน,0.196,0.277,0.25,-0.183,0.013
วาจก,0.033,-0.02,0.0,0.076,0.043
โรคภัยไข้เจ็บ,-0.18,0.071,-0.17,-0.17,-0.15
กล่าวหา,-0.196,0.133,0.205,-0.264,-0.177
พร้อมด้วย,0.0,-0.85,0.0,0.907,0.586
เร็วขึ้น,0.729,0.974,0.0,0.0,0.568
น้ำตาลกลูโคส,0.677,-0.54,0.0,0.587,0.601
จงเกลียดจงชัง,-0.267,0.071,0.475,-0.76,-0.477
ปรมาจารย์,0.072,0.12,-0.025,0.076,0.081
เล่นตลก,0.014,0.474,0.484,-0.38,-0.125
สอบผ่าน,0.855,0.741,0.0,0.862,0.819
เหลว,0.0,0.0,0.927,-0.93,-0.619
กฎหมาย,0.377,0.082,0.0,0.495,0.318
เสร็จแล้ว,0.3,0.358,-0.023,0.34,0.325
โสด,-0.73,0.0,0.726,-0.99,-0.815
คนบ้างาน,0.348,0.453,-0.04,-0.055,0.235
เบียดเสียด,-0.53,-0.005,0.418,-0.455,-0.466
กีฬายิงธนู,0.0,-0.07,0.091,-0.19,-0.07
หลักประกัน,0.73,-0.56,0.0,0.621,0.637
ดูเหมือน,0.0,0.943,0.0,0.0,0.314
ชั่ว,0.0,0.0,-0.7,-0.82,-0.507
ไปปิกนิก,0.074,0.0,0.0,0.0,0.025
ทัพเรือ,-0.03,0.127,0.041,0.15,0.069
เที่ยงธรรม,0.713,0.0,0.0,0.746,0.486
คนป่วย,-0.02,0.038,-0.125,-0.16,-0.089
สวนไม้ดอกไม้ประดับ,0.206,0.093,0.049,0.143,0.131
ผงโกโก้,0.799,-0.95,0.0,0.0,0.583
คลาส,-0.07,0.0,0.0,0.0,-0.023
กล้องถ่ายรูป,0.0,-0.02,0.048,-0.05,-0.026
กล้องถ่ายภาพ,0.0,-0.02,0.048,-0.05,-0.026
การบังคับ,-0.93,0.0,0.079,-0.405,-0.471
อาการท้องผูก,-0.16,-0.02,-0.11,-0.21,-0.153
ปีงบประมาณ,-0.04,0.268,0.0,0.159,0.129
ใจอ่อน,0.0,0.87,0.0,0.948,0.606
ผู้เป็นหุ้นส่วน,0.841,0.721,0.0,0.74,0.767
เจ็บป่วย,-0.89,0.0,-0.99,-0.75,-0.877
อัตวินิบาตกรรม,-0.1,-0.05,-0.12,-0.24,-0.137
อำนวยความสะดวก,0.0,0.81,0.0,0.938,0.583
จำกัดจำนวน,-0.85,0.0,0.605,-0.73,-0.728
พร่ำ,-0.243,0.031,-0.022,-0.266,-0.167
โค,-0.99,0.0,0.827,-0.54,-0.786
ก้นกรอง,-0.05,0.0,0.0,-0.08,-0.043
กรุงโรม,0.0,0.0,0.0,0.076,0.025
ผักดอง,-0.81,0.0,0.543,-0.63,-0.661
เพนิซิลิน,-0.02,-0.02,-0.1,-0.14,-0.08
จริต,-0.008,0.09,0.088,0.259,0.084
เปล่งประกาย,-0.66,0.0,0.616,-0.7,-0.659
ตกค้าง,0.0,0.0,-0.98,-0.98,-0.653
ความละเอียดอ่อน,0.708,-0.93,0.0,0.764,0.801
น่ากลัว,-0.39,0.065,-0.495,-0.345,-0.388
ติดนิสัย,-0.77,0.0,0.776,-0.8,-0.782
เต็มตัว,0.264,0.282,0.012,0.147,0.227
แฝดสาม,0.0,0.908,0.0,0.786,0.565
น้ำมันหมู,0.037,0.0,0.0,0.063,0.033
รถแวน,0.999,0.961,0.0,0.0,0.653
อีโต้,0.939,0.785,0.0,0.0,0.575
อนุมูล,0.219,-0.14,0.04,0.0,0.106
ใจไม้ไส้ระกำ,-0.547,0.0,0.219,-0.31,-0.359
พยาธิตัวตืด,-0.74,0.0,0.94,-0.87,-0.85
อุตริ,-0.026,-0.065,0.096,-0.209,-0.089
สมุหบัญชี,-0.07,0.228,0.019,0.089,0.076
ป่าเถื่อน,-0.74,0.0,0.81,-0.75,-0.767
ภาพพิมพ์,0.722,0.882,0.0,0.0,0.535
จริง,0.507,0.49,-0.04,0.124,0.36
ยิมนาสติก,0.964,0.713,0.0,0.0,0.559
คนครัว,0.04,0.0,0.0,0.067,0.036
สงครามบัวร์,-0.7,0.0,0.925,0.0,-0.542
โรงอุปรากร,0.231,0.0,0.0,0.109,0.113
หมิ่น,-0.858,0.0,0.58,-0.826,-0.755
ภูมิลักษณ์,0.614,-0.95,0.0,0.584,0.716
คิดค้น,0.542,-0.6,0.0,0.757,0.633
ห้องฉุกเฉิน,0.0,0.0,-0.73,0.0,-0.243
อุปรากร,0.231,0.0,0.0,0.109,0.113
แพร่,0.908,-0.65,0.0,0.563,0.707
เขต,0.442,-0.41,0.008,0.403,0.416
การผจญภัย,0.704,-0.8,0.0,0.0,0.501
หวี,0.0,0.943,0.0,0.0,0.314
โบนัส,0.785,0.0,0.0,0.0,0.262
ปลาแซลมอน,0.029,-0.04,0.0,0.0,0.023
อุตสาหกรรมยานยนต์,-0.04,-0.16,0.0,0.056,0.059
นอกโลก,-0.65,0.0,0.859,-0.63,-0.713
นาฬิกา,0.0,0.0,0.95,-0.86,-0.603
นร.,0.26,0.708,-0.135,0.49,0.441
ช่องแคบอังกฤษ,0.0,0.087,0.0,0.071,0.053
ที่ปรึกษา,0.134,0.088,-0.04,0.433,0.205
กองกำลังตำรวจ,0.85,0.0,0.0,0.74,0.53
ธุรกิจอุตสาหกรรม,0.05,0.145,0.0,0.174,0.123
ตีปีก,0.062,-0.6,0.0,0.289,0.317
ไข่,0.0,0.067,0.0,0.07,0.046
เรือลาดตระเวน,0.02,0.0,0.0,0.057,0.026
เคร่งขรึม,-0.354,0.171,-0.044,-0.187,-0.138
วันวาน,0.0,0.078,0.0,0.096,0.058
ร่มชูชีพ,-0.88,0.0,0.0,-0.93,-0.603
กลั่น,0.0,0.036,0.385,-0.364,-0.238
หนอนผีเสื้อ,0.0,0.0,0.828,-0.98,-0.603
พราน,0.0,0.0,-0.11,-0.12,-0.077
อบอ้าว,-0.042,-0.325,0.0,0.091,0.125
สถานที่ศักดิ์สิทธิ์,0.0,0.0,0.0,0.863,0.288
ทางการเมือง,0.0,0.952,0.0,0.932,0.628
ชื่น,0.824,0.559,-0.082,0.353,0.551
เรือรบ,0.0,0.0,0.0,-0.07,-0.023
คนกลุ่มน้อย,-0.94,0.0,0.716,0.0,-0.552
อิเล็กตร็อน,0.0,0.0,0.0,0.101,0.034
ชาติพันธุ์วิทยา,0.818,0.986,0.0,0.0,0.601
โลเล,0.056,0.105,0.786,-0.68,-0.435
แขน,0.0,0.0,-0.06,-0.07,-0.043
นักพากย์,0.672,-0.65,0.0,0.535,0.619
การจราจร,-0.98,0.0,0.989,-0.93,-0.966
สะโพก,0.023,0.085,-0.04,0.088,0.052
งานเอกสาร,0.044,-0.02,0.0,0.0,0.021
ทอดแห,0.0,-0.04,0.113,-0.04,-0.038
ปลาทู,0.847,-0.93,0.0,0.0,0.592
เรือ,-0.34,0.104,0.271,-0.178,-0.228
คลังแสงสรรพาวุธ,-0.04,0.0,-0.09,-0.19,-0.107
ลาดเอียง,-0.028,0.124,0.33,-0.294,-0.176
ตั๋วสัญญาใช้เงิน,0.047,0.0,0.0,0.132,0.06
พู,0.737,-0.96,0.0,0.552,0.75
คนนำทาง,-0.03,0.168,-0.07,0.139,0.069
แมงมุม,0.0,-0.06,0.097,-0.08,-0.039
ระดับเสียง,0.0,0.0,0.0,0.107,0.036
บังคับบัญชา,0.0,0.221,-0.11,0.192,0.101
ครีมกันแดด,0.698,0.725,0.0,0.0,0.474
ห้องน้ำสาธารณะ,0.03,0.088,-0.015,0.026,0.043
ทรานซิสเตอร์,-0.91,0.0,0.0,-0.81,-0.573
ไม้ฉากสามเหลี่ยม,0.763,-0.61,0.0,0.777,0.717
ล่อกแล่ก,0.449,0.305,-0.19,0.222,0.262
คอกหมู,-0.82,0.0,0.947,0.0,-0.589
การเกษตร,-0.83,0.0,-0.85,0.0,-0.56
ทะเลาะวิวาท,0.915,-0.84,0.0,0.778,0.844
เกือก,-0.05,0.068,0.0,0.102,0.04
คริสตัล,0.681,-0.57,0.0,0.632,0.628
สิบแปด,0.0,0.0,0.063,-0.03,-0.031
ช่างเครื่อง,0.831,0.366,0.0,0.571,0.589
ชักช้า,-0.293,0.0,0.954,-0.77,-0.672
ซิลิกา,-0.03,-0.01,0.041,-0.03,-0.03
กวดวิชา,-0.04,-0.02,0.0,-0.06,-0.027
วงกลม,0.0,0.943,0.0,0.0,0.314
ค็อนเสิร์ต,0.068,-0.03,0.0,0.0,0.033
โรคซิฟิลิส,0.0,0.0,-0.82,-0.97,-0.597
ส้ม,0.842,0.818,0.0,0.0,0.553
ฝาปิด,0.045,0.0,0.0,0.125,0.057
ขั้วคู่,0.807,-0.88,0.0,0.718,0.802
ใส่เกลือ,0.0,0.0,-0.87,-0.95,-0.607
บิวเทน,0.0,0.0,-0.08,0.0,-0.027
เล่า,0.074,0.129,-0.1,0.209,0.104
ลังเล,-0.852,0.0,0.854,-0.442,-0.716
รอยร้าว,-0.86,0.0,0.013,-0.965,-0.613
บ้านเกิดเมืองนอน,0.0,0.065,-0.03,0.046,0.027
ยางรัด,0.045,0.143,-0.11,0.212,0.097
รูปสี่เหลี่ยมขนมเปียกปูน,0.887,0.955,0.0,0.0,0.614
ทุพพลภาพ,-0.247,0.0,0.883,-0.683,-0.604
นักล่า,-0.97,0.0,0.677,-0.95,-0.866
วัยเด็ก,-0.06,0.19,0.039,0.103,0.065
ความอิ่มตัว,0.784,-0.93,0.0,0.963,0.892
แขนเสื้อ,0.021,-0.03,0.068,-0.13,-0.049
รกทึบ,0.034,0.105,0.0,0.0,0.046
ปล่อยข่าว,-0.47,0.0,-0.46,-0.825,-0.585
คนเลว,-0.485,0.0,0.358,-0.36,-0.401
กีฬา,0.026,0.15,0.0,0.0,0.059
ลักษณะเด่น,-0.83,0.0,0.858,-0.79,-0.826
วัวควาย,0.834,0.765,0.0,0.0,0.533
ฮ.นกฮูก,0.316,-0.328,-0.05,0.58,0.391
มนุษยธรรม,0.83,-0.89,0.0,0.0,0.573
ปากบอน,-0.758,0.0,0.548,-0.776,-0.694
ร้องเรียน,-0.03,0.22,-0.09,0.21,0.103
ออกชื่อ,0.057,0.383,-0.27,0.325,0.165
เฝือก,-0.015,0.0,-0.045,-0.036,-0.032
ดีดนิ้ว,-0.57,0.0,0.852,-0.74,-0.721
ตาย,-0.165,-0.015,-0.505,-0.44,-0.365
เสรีนิยม,0.862,0.733,0.0,0.0,0.532
หัวเราะเยาะ,0.033,0.0,0.04,-0.22,-0.076
ผ้าปิดตา,0.791,0.934,0.0,0.85,0.858
แข็ง,0.018,0.023,0.008,0.324,0.119
กะ,0.009,0.138,0.004,0.178,0.107
ด้าน,0.02,0.201,-0.045,0.165,0.114
นับจำนวน,0.0,0.14,0.07,0.178,0.083
คุ้นเคย,0.649,-0.61,0.0,0.723,0.661
ช็อก,-0.93,0.0,0.8,-0.96,-0.897
เพราะว่า,0.295,0.239,0.049,0.346,0.277
การส่งเสริม,0.346,-0.269,-0.06,0.464,0.34
ตอบ,0.0,0.99,0.0,0.782,0.591
ลูกอม,0.704,-0.78,0.0,0.0,0.495
สัตว์เลือดอุ่น,-0.98,0.0,0.705,-0.93,-0.872
เคลื่อนไหว,0.4,0.089,-0.045,0.569,0.338
แหละ,0.705,0.0,0.0,0.851,0.519
ค้าประเวณี,-0.88,0.0,0.606,-0.73,-0.739
กระบี่กระบอง,-0.91,0.0,-0.72,-0.99,-0.873
อย่างงดงาม,0.61,-0.121,-0.125,0.128,0.245
เรียกประชุม,0.0,0.0,-0.04,0.04,0.0
พิธีศพ,-0.81,0.0,-0.78,0.0,-0.53
ประสงค์,0.54,0.676,-0.05,0.103,0.423
เลว,-0.75,0.154,-0.64,0.142,-0.365
นุ่ม,-0.001,0.301,0.003,0.296,0.198
คณะผู้บริหาร,0.703,-0.59,0.0,0.842,0.712
บูม,0.045,0.0,0.0,0.088,0.044
การสั่งสินค้า,0.049,0.212,0.0,0.195,0.152
ชุมชน,0.701,0.939,0.0,0.718,0.786
พระสังฆราช,0.713,0.0,0.0,0.782,0.498
เครื่องล้างจาน,0.0,-0.06,0.0,0.0,0.02
รูปแบบทางสถาปัตยกรรม,0.578,-0.95,0.0,0.979,0.836
ประเด็น,0.027,0.166,0.101,0.08,0.057
เก็บเกี่ยว,0.375,-0.025,0.018,0.282,0.221
อากาศ,0.909,0.983,0.0,0.0,0.631
เทอร์โมมิเตอร์,0.808,0.714,0.0,0.0,0.507
อสูร,-0.09,0.085,-0.08,-0.11,-0.065
อย่างเข้มงวด,-0.247,0.282,-0.613,0.251,-0.109
ผับ,-0.76,0.0,0.75,-0.56,-0.69
เกมโชว์,-0.05,0.29,-0.11,0.264,0.131
การพิพากษา,0.323,-0.236,-0.03,-0.269,0.087
มีประโยชน์,0.085,0.365,-0.2,0.362,0.204
กระเถิบ,0.884,0.998,0.0,0.0,0.627
กินตามใจปาก,0.891,0.0,0.0,0.94,0.61
